,feature,label
0,"[0.2829807855667943, 0.9091524985296228, 0.43224448106825225, 3.2127711311163494, 0.0]",[1]
1,"[0.3233895676208201, 1.0212001604396577, 0.48584903146831016, 3.1578018052735475, 0.8680514497455426]",[1]
2,"[0.3527886192227128, 0.8909855791647162, 0.513386624383262, 2.525550799024624, -3.521453376922238]",[1]
3,"[0.2645914644170346, 0.9463310987184247, 0.3950180020131004, 3.5765745535421702, 0.8425242607404145]",[0]
4,"[0.2655203696784914, 1.0084823521611805, 0.4454677346596211, 3.7981355380843804, 0.8951737102110744]",[0]
5,"[0.3028912664076913, 0.9352862574562836, 0.443637564521972, 3.0878614248236174, -2.009553813021139]",[0]
6,"[0.29485111207530723, 0.9664078173478581, 0.4176278820684698, 3.277612929948964, 0.8680514497455426]",[0]
7,"[0.2271684498057685, 1.01740151059626, 0.3721580211170141, 4.478621531582178, 1.7899106082460694]",[1]
8,"[0.28630995721990926, 0.9720124649368013, 0.43923371344175843, 3.3949656322648147, -0.8550973962667232]",[0]
9,"[0.3540114603909865, 1.013415915441548, 0.4629783900872075, 2.862664147432642, -0.9240453527727062]",[0]
10,"[0.32748600231469777, 1.0541235556557091, 0.4552904934687557, 3.2188354561876777, 0.9391909457355799]",[1]
11,"[0.3142857142857143, 1.0207725606697926, 0.45379040841960017, 3.247912693040249, 0.0]",[0]
12,"[0.3430805738534929, 1.0553891006856921, 0.5240825493489454, 3.076213522763837, 0.9548412538721887]",[1]
13,"[0.2852839004297804, 0.9800849941488341, 0.44509756514331766, 3.4354724983510647, -2.489552921999156]",[0]
14,"[0.28976307409623114, 0.9261755311197337, 0.4413233560912015, 3.1963200763536497, -1.4320961841646465]",[0]
15,"[0.27410522177210916, 0.9743369230038027, 0.40800576108250525, 3.554609126760327, -2.0247650815610374]",[0]
16,"[0.28738933946068385, 0.9790207083378675, 0.4386094290889626, 3.4066006420944572, -2.33730585912382]",[0]
17,"[0.2743502434303806, 1.0052767788205244, 0.4237751910295608, 3.664209538329148, -1.1515188939637642]",[0]
18,"[0.26722218480985876, 0.9935591786499306, 0.40167018940915317, 3.7181013969962673, -0.8343455755467915]",[0]
19,"[0.27944928448923617, 0.9794557040575584, 0.42802258772206875, 3.504949765206091, -0.8508648647302778]",[0]
20,"[0.2904180427481547, 1.0421849674347483, 0.42747897051082107, 3.5885682500054323, -1.6846843178962914]",[0]
21,"[0.31062044638270025, 1.0083475124590495, 0.43704292734645644, 3.2462367632319795, -3.245254903890165]",[0]
22,"[0.27505349460918616, 1.0144565825623881, 0.4106998050985064, 3.6882155742241842, -2.36137465817562]",[0]
23,"[0.27180522621922226, 1.0130785702114147, 0.4172533868231915, 3.7272225567668977, -1.7445098415889109]",[0]
24,"[0.2811247725537389, 0.9986485897472966, 0.42301406430975763, 3.5523322284107786, -2.3137224978242164]",[0]
25,"[0.2992069298983625, 0.9843357226813517, 0.45088118272591887, 3.289815924436377, -1.1457628381751033]",[0]
26,"[0.2804208293210168, 0.9546221279894787, 0.43383246404556564, 3.4042482874788798, -2.0247650815610374]",[0]
27,"[0.3407028459234166, 1.0427874473627683, 0.4987002154767162, 3.06069485429883, -2.849474560677232]",[0]
28,"[0.313343170625237, 1.0063785502130156, 0.4695455128671227, 3.21174560212981, 0.49179718794591293]",[0]
29,"[0.28765500823391404, 0.9587337301422086, 0.4295397990891792, 3.3329290389499833, -2.762128313378814]",[0]
30,"[0.2982777539097037, 1.080062518756441, 0.4390973188712726, 3.620995882527007, 0.5092824049775255]",[0]
31,"[0.28396087705194406, 1.0537713795388024, 0.44835329942019414, 3.7109738161079115, -2.501622814281763]",[0]
32,"[0.3125531790429494, 1.007611756790394, 0.4715065616527258, 3.2238090166791533, -2.3215305898327188]",[0]
33,"[0.33653784912724105, 1.0702749454454292, 0.47219196545751096, 3.180251339399185, -1.2562850289563277]",[0]
34,"[0.2811940893410396, 1.0355999068073356, 0.43619722250695314, 3.682865131462037, -0.7538483330707672]",[0]
35,"[0.31839369723391686, 1.0541089816531977, 0.48891838381712177, 3.3107093224862645, -2.762128313378814]",[0]
36,"[0.3101630234171933, 1.038777275837369, 0.4758114430238488, 3.349133189355499, -1.0139787227853019]",[0]
37,"[0.3229057238354094, 1.0734273409223376, 0.4662895491142749, 3.3242747393028003, -0.7742201649280623]",[0]
38,"[0.3108644242333984, 1.0024763110850918, 0.45925268015812143, 3.224802302666928, -2.6144295965954436]",[0]
39,"[0.3459648771873233, 1.029771810921368, 0.4972359736661785, 2.9765212564158534, -0.25240268228915086]",[0]
40,"[0.2840999277052688, 1.0468577680875242, 0.44810240506376886, 3.6848223670565527, 0.5876284162399621]",[0]
41,"[0.27137897443870707, 1.0726211695814483, 0.45880602335512943, 3.952484424410365, -0.30155394986827855]",[1]
42,"[0.29616195747071916, 1.0298482423413442, 0.4645306655060112, 3.4773144097791926, 0.29841281999488256]",[0]
43,"[0.28369317333155875, 1.107360322023964, 0.45092826611266124, 3.903373172571081, 0.561705332566547]",[0]
44,"[0.27079861351464823, 1.0559463413152022, 0.4185931626821772, 3.8993786844410234, -1.1288347966606407]",[0]
45,"[0.2806662968571317, 1.0383458923134143, 0.4426143929674953, 3.6995745621782525, -1.3971810272963765]",[1]
46,"[0.2966316638445262, 1.0844032738483442, 0.46644966809675453, 3.655723262290412, -1.4392896278824165]",[1]
47,"[0.29000328254701063, 1.053297555475133, 0.4669527563009483, 3.6320194248297497, 0.0]",[1]
48,"[0.27224382568131095, 0.9844154091513877, 0.408797799385689, 3.6159329111975747, -2.942520456368632]",[1]
49,"[0.28049174059655013, 1.0324547964925244, 0.4356851997653081, 3.6808741472982356, 1.7445098415889109]",[0]
50,"[0.25005308959360706, 1.018770543941145, 0.3952195133493959, 4.074216981669284, 1.123302714075429]",[1]
51,"[0.2993355473569827, 1.0437975147431107, 0.4760709659063382, 3.487048310698277, -0.8905362533605713]",[0]
52,"[0.26263247552734154, 0.7423371579001116, 0.3749331603519703, 2.826524619278586, 4.15128526642169]",[1]
53,"[0.17757740904781336, 0.7987846121149141, 0.3279974164212542, 4.498233285405344, 2.815556684211228]",[1]
54,"[0.23565132527652122, 0.7846021305362612, 0.38201354595691644, 3.3295044261498745, 4.432668468689861]",[1]
55,"[0.2639509173756843, 0.8105139078781002, 0.39222521621331025, 3.070699340379585, 6.241914347415048]",[1]
56,"[0.25010783860681557, 0.8807468435985341, 0.41399535202198195, 3.521468373420797, 2.8624052261117474]",[1]
57,"[0.2856359517496189, 0.890698356292698, 0.41047125593566647, 3.118299187608782, 5.110417561031226]",[1]
58,"[0.2421875, 0.7514639056954254, 0.4110782329342917, 3.1028187073875633, 2.4059705166453]",[1]
59,"[0.25745757644653766, 0.7776084493366431, 0.41947939579209165, 3.020336243622325, 0.454718861693143]",[1]
60,"[0.270314159327815, 0.825287373412987, 0.39879358171007867, 3.053067495484562, 4.873896422204769]",[1]
61,"[0.24879717075827718, 0.8126820019209385, 0.3655220851268055, 3.266443904663661, 7.869075551790507]",[1]
62,"[0.26217042966960374, 0.7981074469629236, 0.40022791916586, 3.044231372579761, 4.9893625696422035]",[1]
63,"[0.25757575757575757, 0.8556512687905801, 0.4195806036797035, 3.3219402200104873, 4.502189492040975]",[1]
64,"[0.12156570685000632, 0.7845686187384112, 0.2494628052312601, 6.453864655321341, 5.029073581785447]",[1]
65,"[0.2617738737514225, 0.7835310340516086, 0.3961660205758978, 2.9931597940734176, 4.467159061389273]",[1]
66,"[0.42183074386605374, 1.0, 0.5447687824526732, 2.370619056437327, 0.0]",[1]
67,"[0.34616890763041164, 0.8481389170657772, 0.49246675256995803, 2.450072488807387, -4.398705354995532]",[0]
68,"[0.3325950526188697, 1.001482580502749, 0.3800512826829614, 3.011116890095106, -4.398705354995532]",[0]
69,"[0.2491364395612199, 1.0, 0.3050762475737163, 4.013864859597432, 0.0]",[1]
70,"[0.3834824944236852, 1.0883134794296159, 0.5767077328162118, 2.837974341084806, -5.440332031005506]",[0]
71,"[0.46153846153846156, 0.923548145182799, 0.6575816804389915, 2.0010209812293978, -2.7263109939062655]",[1]
72,"[0.41099746826339323, 0.9948497511671099, 0.646496356267352, 2.4205739158703214, 4.763641690726178]",[0]
73,"[0.38461538461538464, 0.8979022072043381, 0.5647591141378566, 2.334545738731279, 0.0]",[0]
74,"[0.42345052228989655, 0.9899494936611666, 0.5262909886918234, 2.33781620650226, 4.969740728110304]",[0]
75,"[0.35233213170882205, 1.0324727599312244, 0.5133549064355912, 2.930396256860533, -3.576334374997351]",[0]
76,"[0.3372936022910166, 1.0301954581497326, 0.4600667600505212, 3.0542988398009423, 4.969740728110304]",[1]
77,"[0.42183074386605374, 1.0265700920278917, 0.5465032605736523, 2.4336066229299407, -2.489552921999156]",[1]
78,"[0.34615384615384615, 0.9485009115645352, 0.4914660365601651, 2.7401137445197685, 0.0]",[0]
79,"[0.2906591794880899, 0.9456006471770236, 0.36311573627131, 3.2532970362140956, 0.0]",[1]
80,"[0.30004752833035897, 0.8978993128216911, 0.46783561393609896, 2.9925236105697364, 1.2544516226815356]",[1]
81,"[0.22997505790396763, 0.9649215925967563, 0.4008960383924189, 4.195766277400768, 1.6135389328811822]",[1]
82,"[0.2928272640484279, 0.9560822476380915, 0.45618527791283714, 3.265004202204253, 1.5911402711945872]",[1]
83,"[0.29630306006417095, 1.0406279084213468, 0.4728384523863589, 3.5120390190907105, -2.16925758972851]",[1]
84,"[0.26212599224456257, 1.0830912864084346, 0.4016785903212336, 4.131949209363086, -2.8421378836556643]",[1]
85,"[0.3185261150073013, 0.8917549852248509, 0.5010777745488397, 2.799629114254603, 0.7742201649280623]",[0]
86,"[0.2623870611186756, 0.965858977301534, 0.4332777821152784, 3.681046516484605, 3.84245312791486]",[1]
87,"[0.24138667112174406, 0.9153234749513851, 0.41605848588709426, 3.7919387623923075, 2.9866369904751666]",[1]
88,"[0.2583911726557215, 0.9375919660586146, 0.4481541072945134, 3.6285758388033456, 4.23639479905884]",[1]
89,"[0.3083951063445927, 0.9775349307285814, 0.4536085480788786, 3.169748516165847, -2.402609468986042]",[1]
90,"[0.23817467169806344, 0.9643562621899593, 0.4028582185790438, 4.04894548742145, -2.33730585912382]",[1]
91,"[0.2688237835892854, 0.9211283497497679, 0.4476335671383635, 3.42651359731283, -2.507701727066255]",[0]
92,"[0.27169337865786364, 0.9564231847414574, 0.447317571733994, 3.520230008791845, 1.624976357524766]",[1]
93,"[0.23830465096111914, 0.9941754617170904, 0.4031274789684749, 4.17186763962612, 5.086221709634632]",[1]
94,"[0.1783796514968893, 0.9906523276139737, 0.3802331764595848, 5.553617350974863, 3.4473868518651978]",[1]
95,"[0.07793313536581606, 1.048073755612632, 0.3337512130561807, 13.44837148785304, 0.40066325579215395]",[1]
96,"[0.2168937134438306, 1.0339134430232118, 0.3945138221388787, 4.766912911429157, 5.086221709634632]",[1]
97,"[0.21845768551858602, 0.987372483480871, 0.4076843020734328, 4.519742489887667, 4.573921259900861]",[1]
98,"[0.17693224677597527, 1.0224040832520156, 0.3576690211684393, 5.778506190262445, 2.0454084888872277]",[1]
99,"[0.24667005280389856, 1.0202900657820853, 0.4172610207247284, 4.136254296719232, 3.791165687365224]",[1]
100,"[0.2346657574908752, 0.9735948337402768, 0.4309348915237168, 4.148857695090577, 3.6592815186608023]",[1]
101,"[0.22505536701635576, 1.065522802653799, 0.4009471356135073, 4.734491857625252, 2.966040889987118]",[1]
102,"[0.2873743746609043, 1.0305644185510432, 0.4906174115624151, 3.5861388816142266, 3.2601606378748773]",[0]
103,"[0.21576029230392346, 1.0085960979775426, 0.40672830234444424, 4.674614069194983, 3.1622977521393887]",[1]
104,"[0.21564482427890136, 0.8576346483687821, 0.40897125798783046, 3.9770704037838245, 1.5207696611437658]",[0]
105,"[0.2706454006060476, 0.9141205819563217, 0.4598998392715385, 3.377558162486267, -10.98865109649398]",[0]
106,"[0.25237839218948366, 0.9223278227926046, 0.4602584706428388, 3.654543539924481, -2.0825652797308845]",[0]
107,"[0.2566703428321353, 0.903526912718374, 0.4703039246287071, 3.520184306253445, -2.675426656029148]",[0]
108,"[0.22922503482424134, 0.9239889913351768, 0.3603316575573126, 4.030925295937448, -1.0708244547869634]",[1]
109,"[0.323467236418352, 0.8029079703481792, 0.4409872505105809, 2.482192568368034, -1.193489423982035]",[0]
110,"[0.29563867794518056, 0.9975747741175051, 0.44532248407169245, 3.3743040019360473, -2.2457425658950716]",[1]
111,"[0.2512741254713403, 0.7942098153317112, 0.37855490190999386, 3.1607305919060766, -5.9468630539735]",[1]
112,"[0.2855400597451956, 0.8429328820206271, 0.4716848248894252, 2.952065229561226, -2.36137465817562]",[0]
113,"[0.27450980392156865, 0.7820455065165547, 0.41008636910349866, 2.848880059453163, -1.7534048600715397]",[0]
114,"[0.25032299376605005, 0.7571316976876031, 0.3824382523130726, 3.0246190583483217, 0.6030911943805325]",[0]
115,"[0.366038179149329, 0.8122357800893395, 0.5240044731490475, 2.218991969572605, 1.169139327907419]",[0]
116,"[0.25079999389197594, 0.7594439561986461, 0.41605386257012683, 3.0280860235018676, -0.590657214646671]",[0]
117,"[0.27100654783658673, 0.9671090433201331, 0.41652205992962427, 3.5685818333189747, -2.8063702517882496]",[1]
118,"[0.2942179345790209, 0.8128080389901754, 0.42977654664648063, 2.762605346112481, -1.2060487792199577]",[0]
119,"[0.3452432700650834, 0.9820344654820718, 0.4917349966890689, 2.8444709879411816, -2.2025981617658053]",[0]
120,"[0.151620602214637, 1.0107455902448677, 0.32054820003708323, 6.666281333021201, -0.6365935759634865]",[1]
121,"[0.325, 1.0082460166592009, 0.4822475167106307, 3.1022954358744643, -3.6214847041173397]",[0]
122,"[0.3075912095106096, 0.9842323587144224, 0.4433155298333894, 3.199806523341083, -1.5911402711945872]",[1]
123,"[0.18744143370152302, 0.987545229125117, 0.35744242690749517, 5.268553540289598, -2.260501911141272]",[0]
124,"[0.30822557152297814, 1.0521799421636013, 0.44356235154318174, 3.413668557623752, -0.7742201649280623]",[1]
125,"[0.26129616156288277, 1.003230572359528, 0.42560311648607857, 3.8394386138661036, -1.3169124057932626]",[0]
126,"[0.313953488372093, 0.9410553897187083, 0.45565967243926775, 2.9974356857707005, -5.3321588816595575]",[0]
127,"[0.2451071053429042, 1.0284723425521485, 0.395328071542337, 4.196011947974003, -3.6522227803063356]",[1]
128,"[0.3217945728619742, 1.0020949743632988, 0.4752466291613387, 3.1140828928557553, -3.5322945838908875]",[0]
129,"[0.32051282051282054, 0.9383589418794789, 0.4662292756576224, 2.927679898663974, -0.7742201649280623]",[0]
130,"[0.16732311072657552, 1.0378025077097548, 0.29285273243173177, 6.202385929853043, 0.6510603802294862]",[1]
131,"[0.354394179885763, 1.0305250310961651, 0.4752868433460279, 2.9078497604795572, -0.7538483330707672]",[0]
132,"[0.17052893799693358, 0.9874056122914027, 0.32433566336154873, 5.790252516022576, 1.3478872801985986]",[1]
133,"[0.2395313573411102, 1.0164690608933722, 0.36878332142818554, 4.243574086401748, -1.8676788394341723]",[0]
134,"[0.2611851175223082, 0.8409810168083286, 0.3989697987285133, 3.2198657595278153, -6.34019174590991]",[0]
135,"[0.29617057019175763, 0.8429596152029293, 0.42727217797673267, 2.846196415319555, 2.9507791090063504]",[0]
136,"[0.2808257796284227, 0.7626199880766664, 0.41407903418844205, 2.715633832071024, -12.094757077012101]",[0]
137,"[0.2636140452445892, 0.7230328987453564, 0.40210159138827833, 2.742770773364918, -8.790543182813945]",[0]
138,"[0.25260834230530427, 0.8580474072916083, 0.41521345162364576, 3.396750081414833, -6.2772984895975545]",[1]
139,"[0.20649872858007717, 0.790886959941883, 0.3498291436047556, 3.8299846462986267, -11.859779120947978]",[1]
140,"[0.2933640271046981, 0.8278682586369263, 0.4333909182526531, 2.821982868204458, -5.194428907734806]",[0]
141,"[0.20544200636628718, 0.7743679384911129, 0.37009510068510415, 3.7692775308593647, -4.813550893706532]",[1]
142,"[0.27120714907676413, 0.9063072707661856, 0.4446923717790964, 3.3417528772800114, -7.765166018425333]",[0]
143,"[0.21454385535244044, 0.7478068046393042, 0.38380738957417654, 3.485566172057688, -3.4336303624505224]",[1]
144,"[0.22749754244834622, 0.8135662714232077, 0.3733347834043729, 3.5761541099193614, -5.826342029555775]",[1]
145,"[0.3056432484318457, 0.9986320653423267, 0.4313219660744818, 3.267312693691018, 2.4263358316023576]",[0]
146,"[0.3105980381707249, 1.074384787040074, 0.45018672621028594, 3.45908426649341, 0.9793196543394874]",[0]
147,"[0.271328267575968, 1.0457861590081121, 0.4338048806241497, 3.8543207029297344, 1.9749340108819766]",[0]
148,"[0.36164438658753595, 1.0847745378723779, 0.522075818778408, 2.9995613871081295, 0.98776039963981]",[0]
149,"[0.303296212466945, 1.123219411774788, 0.4673190991318547, 3.7033743436450037, 0.5208563745019587]",[0]
150,"[0.3538537261301145, 1.0999999999999999, 0.49990605247205677, 3.108629127719068, 0.5025816667210311]",[0]
151,"[0.2492640289063037, 1.0716622067549173, 0.4191884547863327, 4.299305485260155, 0.49821161261364194]",[1]
152,"[0.28782826047580207, 1.065387885531954, 0.43093117748564486, 3.7014707442930956, 1.0416266760099742]",[0]
153,"[0.28777459523409515, 1.0663071945266513, 0.42974764939012233, 3.705355553221248, 1.0609116902642277]",[0]
154,"[0.3064753133475152, 1.0736128736822896, 0.4566449764168562, 3.5030974010781417, 4.15128526642169]",[0]
155,"[0.3212027108058225, 1.0446122413067496, 0.4469817357160653, 3.252189991442045, 0.902221161530156]",[0]
156,"[0.29927415355749226, 1.048023277728354, 0.4426643275775015, 3.501883691827142, 3.3109415146114434]",[0]
157,"[0.30436911327109456, 1.096355331299496, 0.434639972698907, 3.6020584333174357, 3.082180824528144]",[0]
158,"[0.30951238965092065, 1.168567457841308, 0.44626244369851126, 3.775511084255015, 4.219095349248455]",[0]
159,"[0.31734827384725217, 1.0876554853047418, 0.48367551013582216, 3.4273244096114355, 4.29986282019207]",[0]
160,"[0.2699528242887922, 1.0364849691838263, 0.4186899140956371, 3.8395040759973953, 2.74808818005375]",[1]
161,"[0.3387387522587378, 1.0421820298751698, 0.4884360566107057, 3.07665427390818, 2.5830206686350574]",[0]
162,"[0.3195790998566988, 1.1444311627476589, 0.46297242147482703, 3.5810575950080237, 3.2572219406669563]",[0]
163,"[0.3207669985734948, 1.213113602461192, 0.46722893178316116, 3.781915246444035, 0.9628636256362129]",[0]
164,"[0.22298905989305795, 1.1328548009343473, 0.3766492011086399, 5.080315605965811, -0.454718861693143]",[1]
165,"[0.3326807285606219, 1.0752791349602615, 0.4656623382672445, 3.232165384549233, 0.946951446773465]",[0]
166,"[0.301500593349278, 1.1562391886144578, 0.4495382594535494, 3.8349483023238857, -1.4202655463990457]",[0]
167,"[0.26360349671760147, 1.1384306545858907, 0.3902290840186314, 4.318723646543626, 1.9251837083231549]",[0]
168,"[0.29264225332209004, 1.1441399582402254, 0.44016396568441435, 3.9096881781488806, 0.49821161261364194]",[0]
169,"[0.27493485083470576, 1.1912511735427531, 0.39995847795636047, 4.332848927395342, 0.5161642297648366]",[0]
170,"[0.28020945306091133, 1.2265403492138953, 0.4112806603201996, 4.377226877307643, 0.49391689861875576]",[0]
171,"[0.33570534810349695, 1.1437060562631107, 0.4718058793723382, 3.406874697481762, 0.5070290609147756]",[0]
172,"[0.28777459523409515, 1.2146413552757014, 0.4295613991628773, 4.220808144261764, 0.0]",[1]
173,"[0.20717863949648763, 1.1182652822024433, 0.35261074756096816, 5.397589659436882, 1.3971810272963765]",[1]
174,"[0.2927651473881868, 1.1129144981547532, 0.45330510805107666, 3.8013899812982306, 0.48969559312922417]",[0]
175,"[0.2441860465116279, 1.0025477748298712, 0.43025133646384933, 4.105671839779473, -2.573359463176823]",[0]
176,"[0.3403332036488557, 0.9546653935452574, 0.4654874630312537, 2.8050903741095117, -0.6295986084102668]",[0]
177,"[0.2618791024680371, 0.9816330834804706, 0.43112137599221534, 3.7484208332365165, -1.9091524329963763]",[0]
178,"[0.25746427974265224, 0.9441860893781039, 0.37246076488708835, 3.6672508136735034, -0.6295986084102668]",[0]
179,"[0.26483546858593776, 1.0775583861080094, 0.4178496703159083, 4.068784260135259, 0.9710219310791666]",[0]
180,"[0.3087281192243716, 1.0550609436289649, 0.469050621903901, 3.417443627356106, 1.4878675288277787]",[0]
181,"[0.2189830061570621, 0.9952996214505231, 0.3950718715054681, 4.545099818095748, 1.1123996162977923]",[0]
182,"[0.3345925406960965, 1.0091307144431805, 0.48651504942870594, 3.0159988394952086, 0.5456575934157205]",[0]
183,"[0.26923955836678026, 0.9847490189791762, 0.4011426509824797, 3.6575198122917367, -0.6661999701831416]",[0]
184,"[0.34683442396489256, 0.9376098498001771, 0.5018605004219455, 2.703335612081817, -1.0230301886678357]",[0]
185,"[0.317904899149697, 1.1357121646532262, 0.44646838023974417, 3.5724902877902336, -1.231977402639728]",[0]
186,"[0.16111631343124172, 0.8396851638425107, 0.30247498739573286, 5.2116706617722866, 0.0]",[1]
187,"[0.24444444444444444, 1.0901947487325072, 0.39264792512496405, 4.459887608451166, 0.0]",[0]
188,"[0.2948717948717949, 1.1867123151716974, 0.48179160165173723, 4.024502634060539, -1.3019526725788753]",[0]
189,"[0.2872602262808684, 1.0193202307586942, 0.396196502553573, 3.548421039542226, -3.667788055531429]",[0]
190,"[0.23757085708075548, 1.0694461052234385, 0.3640208178733422, 4.501587940392498, -0.7440592028887094]",[1]
191,"[0.28237800168373034, 0.9107415329252134, 0.4612473096297324, 3.225256668347927, -0.6030911943805325]",[0]
192,"[0.28903028782167817, 1.1336950576002367, 0.42732794584231254, 3.922409191592017, -3.90049374238189]",[1]
193,"[0.3347974903017431, 1.1503974322613402, 0.45342393371325307, 3.4360993304475516, 1.507435758774968]",[0]
194,"[0.2823349660968487, 0.906965923133759, 0.38638038216574927, 3.212375483179241, 0.0]",[0]
195,"[0.26843089411802523, 1.0043600331329432, 0.3879780421558679, 3.7415962735322874, -4.548042409125415]",[1]
196,"[0.24043694829473578, 0.960683907307723, 0.3642877917273984, 3.9955751980768115, 1.1573330681295173]",[0]
197,"[0.23477205502566242, 1.0586263057247414, 0.3115086303379983, 4.509166585473834, 4.085616779974877]",[0]
198,"[0.32449288469961934, 0.996761125095282, 0.5096393556793222, 3.0717503282636733, 9.302054711298819]",[0]
199,"[0.30161805537373526, 1.0825386083445272, 0.4734247535729534, 3.589104130398137, -3.1798301198642345]",[0]
200,"[0.18331600584896643, 0.9721667142877144, 0.3369809982953969, 5.303228759460753, 9.050721677183725]",[1]
201,"[0.33500416355389157, 0.9417593373691209, 0.4993589116941384, 2.8111869637035767, 4.159642293712642]",[0]
202,"[0.3503438907037349, 1.0099258015756796, 0.541386359417448, 2.8826699376633744, 6.033253006200707]",[0]
203,"[0.3132982131053096, 0.976904710409669, 0.47752710434465295, 3.1181304889258974, 1.9251837083231549]",[0]
204,"[0.2699460161946019, 0.9913938157400441, 0.425424554069205, 3.67256323955289, 0.5405101871306666]",[0]
