,feature,label
0,[0.31112578 1.07530095 0.55090401 3.45616155],1
1,[0.28313253 1.11943135 0.35748692 3.95373625],1
2,[0.30811388 0.98913016 0.53866802 3.21027457],1
3,[0.35984961 1.98461631 0.5028916 5.51512703],1
4,[0.20238095 1.11131319 0.47301332 5.49119459],1
5,[0.25153126 0.87168648 0.39632435 3.46551952],1
6,[0.33145306 1.18464407 0.62089342 3.57409299],1
7,[0.27558544 1.02834214 0.4293947 3.73148214],1
8,[0.1466126  0.99204875 0.3309769 6.76646321],1
9,[0.16716625 0.97926138 0.33431794 5.85800906],1
10,[0.23184312 1.27579571 0.52129295 5.50284058],1
11,[0.30487805 0.96891336 0.51970626 3.17803584],1
12,[0.19128261 1.45650834 0.31453574 7.61443166],1
13,[0.21560365 1.26147851 0.33807614 5.85091438],1
14,[0.20518412 1.16833119 0.23900819 5.69406247],1
15,[0.14855105 0.96017949 0.27383959 6.46363336],1
16,[0.21144541 0.92082254 0.33935803 4.3548949 ],1
17,[0.25596371 1.05121277 0.45203725 4.10688201],1
18,[0.23389772 1.19905635 0.54656821 5.12641319],1
19,[0.19850138 0.98742741 0.4271517  4.97441081],1
20,[0.19047619 1.12283417 0.46565698 5.8948794 ],1
21,[0.20824933 1.26319691 0.46605532 6.06579089],1
22,[0.19900745 0.94328991 0.45059552 4.73997296],1
23,[0.23684924 1.04754555 0.53969399 4.42283697],1
24,[0.23974423 0.91464398 0.35304696 3.8150824 ],1
25,[0.33333333 0.9143423  0.46361918 2.7430269 ],1
26,[0.21681135 1.12418555 0.35505848 5.1850863 ],1
27,[0.23074713 0.92392148 0.55309489 4.00404316],1
28,[0.2518222  1.22476931 0.26338528 4.86362719],1
29,[0.34882203 1.19811517 0.71622698 3.43474623],1
30,[0.27257615 0.92345497 0.46077143 3.3878788 ],1
31,[0.28225244 0.90097314 0.64418794 3.19208274],1
32,[0.30566428 1.36449173 0.41661436 4.46402095],1
33,[0.17823636 1.30648691 0.45111709 7.33008075],1
34,[0.22134947 1.19671646 0.4599849  5.4064573 ],1
35,[0.22077922 0.94415735 0.37420486 4.27647739],1
36,[0.25009553 1.23930063 0.56930462 4.95530891],1
37,[0.15294118 1.         0.24342213 6.53846154],1
38,[0.15301354 1.04006461 0.35250212 6.79720647],1
39,[0.31625072 1.26622114 0.70904382 4.00385219],1
40,[0.21456277 1.0517429  0.45165769 4.90179593],1
41,[0.34210526 1.02775505 0.48654539 3.00420706],1
42,[0.2278481  1.03015518 0.36718597 4.52123662],1
43,[0.34234876 1.         0.64166596 2.92099789],1
44,[0.38791137 1.10379155 0.76965717 2.84547355],1
45,[0.38185325 1.10226566 0.61152091 2.88662116],1
46,[0.2        0.86134927 0.30320904 4.30674633],1
47,[0.26706425 0.99063506 0.42477758 3.70935112],1
48,[0.26782653 0.88616331 0.27170305 3.30872117],1
49,[0.39204229 1.09746515 0.75428117 2.79935397],1
50,[0.32699874 1.14206931 0.45533214 3.49258014],1
51,[0.36507233 2.92680533 1.04884977 8.01705609],1
52,[0.26713425 1.19491806 0.4446476  4.47309938],1
53,[0.19621543 1.23751354 0.52380141 6.30691252],1
54,[0.21686747 1.05863965 0.55783805 4.88150505],1
55,[0.37333333 1.09329984 0.55714941 2.92848171],1
56,[0.30999488 1.24425931 0.54744102 4.01380603],1
57,[0.30754962 1.10204047 0.54230957 3.58329323],1
58,[0.17527043 1.12015312 0.54553989 6.39099901],1
59,[0.30681818 1.16660826 0.55204091 3.80227877],1
